"(p,d,q)","(P,D,Q,m)",AIC
"(1, 1, 3)","(1, 1, 1, 24)",32554.5
"(1, 1, 3)","(0, 1, 1, 24)",32561.4
"(1, 1, 3)","(1, 0, 1, 24)",32742.7
"(1, 1, 3)","(1, 0, 0, 24)",33026.6
"(1, 1, 3)","(0, 0, 1, 24)",33039.8
"(1, 1, 3)","(0, 0, 0, 24)",33099.9
"(1, 1, 3)","(1, 1, 0, 24)",33557.1
"(1, 1, 3)","(0, 1, 0, 24)",34282.9
