max_depth,learning_rate,n_estimators,val_RMSE
7,0.03,300,62.22
3,0.03,300,62.97
7,0.03,600,63.9
5,0.03,300,64.99
3,0.03,600,67.12
7,0.1,600,67.52
7,0.1,300,67.66
5,0.03,600,69.13
5,0.1,300,80.01
5,0.1,600,80.85
3,0.1,300,82.09
3,0.1,600,93.61
